Lista_Aleatoria,Lista_80_Ordenada,Lista_Decrescente
41148,15132,84177
83901,15137,84157
12677,15139,84156
94003,15144,84145
87767,15155,84141
84841,13974,84135
46486,15182,84134
90001,15193,84114
61792,15194,84103
32997,15194,84096
57048,15197,84089
33948,15201,84066
45364,15206,84063
59463,15207,84057
92329,15210,84056
54334,15218,84053
44908,15227,84050
60922,15245,84009
20138,15262,84006
39194,15265,83993
8817,15268,83969
29190,98145,83965
95031,22997,83965
7269,15285,83950
57354,15285,83950
14506,15296,83935
24010,15307,83921
47476,15310,83918
17355,67468,83911
71188,15332,83897
29295,15333,83892
59297,15342,83885
48267,49626,83864
31171,15406,83852
25034,15409,83850
86451,15423,83838
61772,15446,83834
30340,15461,83825
20568,15467,83815
89063,15469,83796
76173,15475,83757
98440,31988,83744
33732,15509,83738
63651,4647,83729
94604,15529,83724
65622,15535,83721
55314,15545,83712
76097,15557,83707
66008,15558,83706
68979,15590,83704
71390,15602,83702
13842,76841,83695
79483,15648,83693
2276,15649,83692
98955,89717,83669
52409,15667,83668
25191,15675,83662
7127,15681,83660
78440,15700,83654
59773,37736,83645
7755,15717,83634
68587,15723,83631
69555,15741,83631
71127,15745,83626
10334,15751,83609
90166,15752,83606
14968,10218,83574
87129,15769,83560
40364,83084,83550
46278,15787,83544
16522,15794,83523
3935,15801,83510
29802,15802,83492
22340,15806,83491
2116,15806,83491
46887,4103,83490
72487,63572,83477
25735,15929,83454
22318,3290,83449
76898,15940,83441
78299,15959,83439
86230,15969,83422
79084,15980,83415
97489,16005,83410
19520,41926,83402
74808,16033,83380
71237,16036,83380
16214,16050,83363
13972,16074,83362
19420,16092,83326
36026,16095,83309
89211,16102,83304
37814,16128,83304
19003,16133,83295
63956,4551,83285
24446,16157,83283
24945,16163,83278
11224,16164,83261
32159,16172,83254
30121,16180,83248
52600,89570,83242
28159,16209,83237
4124,16212,83236
30674,16215,83234
90912,16229,83216
82822,436,83206
34285,16239,83205
21068,12916,83202
67557,16266,83199
53932,16267,83178
66324,16285,83169
96678,16287,83154
70911,16291,83129
73861,16294,83120
30671,16298,83119
47775,16308,83116
96818,16315,83113
45076,16334,83099
36643,16336,83090
88863,16350,83072
30847,16379,83056
19498,83846,83042
44042,16401,83025
85707,58579,83024
61489,16431,83024
48279,16432,83023
6552,16446,83016
81581,16496,83007
57716,16515,83003
67877,16528,82964
69464,16530,82955
15609,19817,82954
38616,16547,82949
54640,16592,82947
38871,16595,82941
79859,16608,82940
79265,16614,82939
92404,16624,82936
20104,16629,82922
6053,16637,82918
65313,16660,82902
99817,16668,82870
14342,64038,82857
28687,16684,82843
57034,16727,82841
92372,16742,82804
54885,16745,82798
89416,16745,82788
70889,34037,82778
91438,16770,82772
48472,16777,82750
4866,10065,82747
30809,68500,82731
73114,78825,82687
1816,78380,82673
10105,16812,82667
99601,16812,82662
15759,16815,82640
3196,16824,82634
12031,28791,82634
20482,16865,82620
21443,16870,82584
77320,16871,82581
8000,16884,82571
97792,16889,82547
53955,16896,82545
8727,16906,82545
14825,16913,82535
70262,16943,82498
17376,16944,82498
14352,16952,82496
76322,16967,82495
2392,16986,82486
4738,16990,82483
17662,17001,82472
28821,18096,82468
26355,17010,82465
80512,17010,82462
15061,17023,82447
71599,17037,82443
82693,17050,82432
54405,17057,82428
72621,17068,82418
12783,17069,82410
7269,17072,82399
80592,17119,82367
32780,17155,82355
40425,17159,82352
89681,17178,82343
66009,9802,82338
92252,17188,82309
59557,61197,82303
82686,17227,82294
98301,17233,82294
17542,17245,82282
9693,17248,82267
65099,17255,82264
21345,17268,82264
84057,61097,82254
75573,17274,82248
42849,17277,82240
90929,17281,82223
84798,17298,82212
36987,17306,82197
85803,17334,82170
71906,17358,82152
78192,17362,82141
3654,17378,82124
40160,17394,82098
24054,17406,82092
26724,64161,82090
19869,17420,82089
39027,17421,82085
20155,17428,82084
64887,69489,82056
84562,17450,82039
51096,17454,82029
85657,28763,82021
66005,17459,81986
79565,17461,81967
39858,17485,81958
82932,17489,81956
79617,17502,81956
46612,90462,81949
74517,17503,81929
3209,17503,81919
73598,17505,81919
17412,17507,81917
76399,17513,81912
37723,17516,81903
26245,17519,81866
89567,74527,81858
77278,17530,81843
4018,17555,81832
96751,17581,81831
2208,68895,81825
8942,17613,81823
14476,17614,81818
65772,17616,81813
3589,17629,81808
76976,60600,81794
67383,87461,81778
38430,17645,81774
46216,17668,81762
50666,17683,81743
22637,17686,81734
61003,17701,81726
26207,17704,81723
98887,17720,81720
30626,17724,81700
83871,17725,81690
38829,17730,81687
7816,17187,81664
80699,17751,81661
85316,17769,81652
66129,91104,81650
199,16798,81638
88647,17787,81631
12910,90927,81628
83041,17797,81608
59491,17797,81607
75856,17817,81596
74479,17831,81596
47641,14007,81578
86593,17841,81567
51519,17859,81567
8607,17861,81559
84735,17862,81544
28182,17891,81543
30078,92857,81531
46066,17926,81528
39727,90857,81518
53248,17944,81514
49358,17949,81505
89666,17986,81491
88843,18006,81487
74924,18027,81487
56842,18028,81477
73497,18031,81476
52607,18039,81471
28564,18056,81433
58053,40256,81426
99768,18081,81417
25966,18082,81398
27963,18088,81372
35683,18095,81318
16291,74042,81290
52369,18111,81287
53965,12360,81286
71746,35185,81285
97916,18135,81256
10206,18144,81248
4925,18145,81233
39608,18148,81232
11909,18153,81228
65553,18176,81227
58480,18184,81221
46139,18187,81217
81482,18190,81187
57978,18191,81182
74476,32976,81181
69117,18204,81170
87813,18216,81117
33714,97833,81115
56361,33601,81106
61591,18234,81085
12831,36836,81085
90861,56354,81076
67362,18291,81061
8023,18306,81044
57687,18333,81021
46690,18341,81009
67382,18343,81007
9617,18351,81002
85525,18353,80998
94481,18359,80982
75499,18360,80969
33698,18365,80965
83975,93791,80932
42010,18380,80924
16292,3563,80924
7901,53563,80924
18236,18424,80911
264,18426,80891
54864,18436,80884
98372,97066,80867
16410,73122,80849
65539,18493,80843
19321,18524,80841
98187,18527,80831
71423,18532,80829
5145,18545,80826
34972,18563,80824
11917,96686,80821
13939,10358,80821
35880,18583,80808
7578,18584,80806
50331,18604,80773
33196,18607,80740
22359,18609,80732
44870,18610,80714
33448,18629,80700
31391,18657,80699
3127,18662,80650
24746,18677,80650
77588,18681,80648
44000,18703,80623
13835,10081,80596
95918,18714,80585
81971,18716,80584
40829,18716,80578
32247,18729,80564
44326,18752,80561
59761,18762,80546
82299,18773,80541
95061,18774,80528
58644,55160,80515
32219,18795,80504
73722,18797,80497
17620,18817,80483
10661,71088,80459
10257,18830,80446
33912,18832,80445
79582,18832,80443
82734,18845,80438
15995,18860,80425
78900,18861,80406
1730,18878,80390
97830,36231,80388
8064,18900,80388
86820,18906,80368
24950,18906,80346
69948,18908,80338
55339,18911,80333
49037,18920,80324
88449,18964,80320
3203,18968,80320
45830,18982,80315
61852,18986,80304
69278,18988,80303
38833,18993,80284
5038,19011,80283
52910,19042,80280
48071,19051,80272
38430,19054,80268
75898,19060,80268
24936,19084,80266
19881,19088,80261
87894,19096,80242
29053,19112,80224
42851,19118,80222
54613,24249,80218
8967,19133,80211
71364,19145,80209
92249,19174,80189
69777,92605,80161
56407,19205,80148
88605,19211,80137
74538,19212,80124
82083,19227,80090
91197,10850,80087
56169,19235,80087
69470,19239,80086
10363,19127,80075
62923,19278,80060
14186,19283,80059
28713,19294,80052
91376,19294,80040
14614,19311,80037
16408,19316,80010
96629,19323,80001
14166,64126,79992
58863,19350,79961
80217,44239,79956
15074,19410,79936
47825,19412,79925
9928,19424,79917
25857,19435,79908
79548,19444,79908
23599,19465,79904
10660,19466,79887
92214,68807,79877
87171,17273,79876
52986,19479,79864
35554,19492,79859
95139,19502,79858
81527,19504,79857
91103,19514,79844
17826,19514,79831
97025,19522,79820
52218,19548,79818
2769,19559,79814
26625,19561,79784
18650,32560,79774
78950,19573,79767
88849,19586,79754
6035,19596,79752
16743,19596,79748
98363,19597,79721
50187,19598,79717
80750,40345,79715
92075,96247,79703
92046,19633,79693
59938,19635,79687
64608,58414,79685
33843,19640,79676
49686,20414,79668
92667,19679,79648
77369,19690,79627
90174,19696,79611
16796,82214,79608
68125,19719,79606
1210,19737,79597
29651,19744,79580
38242,19755,79566
70178,19768,79532
33149,36931,79516
91116,19791,79514
42376,19802,79508
71043,16794,79482
94151,830,79471
70059,19846,79460
73225,19864,79457
17644,19892,79436
65129,19911,79413
18627,19915,79411
88343,19916,79410
92117,19929,79405
98557,52720,79400
37011,6623,79397
52379,19943,79392
60683,19986,79369
46577,19991,79368
8081,60997,79345
9319,20001,79343
56623,20002,79323
90666,80530,79309
14120,20024,79292
56033,13290,79234
71382,45420,79229
74883,20069,79212
63982,20074,79199
64830,20091,79195
25964,20093,79191
98371,20103,79179
29602,20107,79158
66943,20114,79135
4461,20117,79118
82273,20117,79111
38014,20134,79111
72988,20139,79106
26086,20140,79083
98956,20148,79078
57120,20155,79071
83862,19933,79061
88850,20168,79049
87645,20185,79047
28182,20188,79032
97644,46009,79030
72596,20216,79026
43906,71574,79024
58603,20247,79023
58319,20256,79017
32170,20265,79015
93021,20277,79014
8061,5740,79011
19226,20295,78994
2247,31205,78987
37574,20319,78985
69312,20320,78976
61013,20332,78959
54883,20343,78957
40179,51192,78957
78355,96596,78955
90683,20356,78954
93713,20363,78947
20700,51220,78946
93688,20369,78929
88518,35067,78917
47817,20379,78910
86341,20400,78904
98684,20401,78887
32589,20402,78885
1778,20410,78827
73127,7882,78827
71962,20452,78800
96141,20455,78792
57310,20456,78786
41537,97590,78761
54045,49831,78709
96349,20482,78708
86001,20507,78696
94319,20530,78684
16294,20534,78660
81941,20539,78659
23375,20557,78645
77268,20568,78641
13397,15274,78573
49018,20580,78568
39015,16207,78566
17860,20583,78552
52155,20586,78540
69265,73016,78538
88002,20598,78519
64948,20602,78519
57573,20604,78517
6517,20608,78516
26016,20608,78516
80492,20635,78509
94879,67420,78505
14152,20662,78494
60224,20686,78490
77527,20697,78464
39179,54903,78457
50771,20699,78454
57102,20700,78437
7489,13686,78431
44532,83703,78412
68182,27307,78409
87186,53771,78408
56615,20744,78404
41681,20746,78400
81206,20762,78399
93040,20802,78392
3155,20815,78391
70487,7728,78375
63411,20818,78368
16373,72693,78366
11009,20832,78362
22381,20834,78360
31258,20838,78340
99924,20847,78336
89891,20847,78324
60644,20852,78313
2032,20888,78312
79352,20910,78311
75545,20916,78308
45657,20927,78306
41387,20936,78294
55212,20938,78288
76249,20951,78268
91211,36314,78265
52307,20970,78259
20685,20979,78252
47009,20991,78247
72340,20995,78236
74698,20995,78235
54286,21016,78214
3583,21016,78209
55152,21022,78186
32169,21027,78179
7543,21057,78178
63446,21070,78177
59143,21072,78174
72208,21073,78168
27382,86087,78160
5209,99257,78160
39512,55677,78157
97772,21101,78145
92876,21129,78126
30597,21145,78123
98987,21157,78116
31454,21157,78095
92087,79793,78086
31701,21190,78078
92275,56795,78058
27193,21253,78033
7938,21267,78021
96613,21270,78021
8422,21286,78012
23380,21292,78000
6522,21293,77983
56344,1061,77955
97324,21317,77947
17390,21334,77944
45554,69530,77924
72038,21356,77922
41267,21358,77905
19035,21368,77892
58269,21374,77884
2877,21382,77877
26017,21396,77857
73299,1104,77854
91406,21413,77825
51870,21424,77793
91918,21439,77761
86262,21453,77759
57418,21471,77739
17617,21475,77731
32477,21483,77726
86736,21507,77722
34379,77006,77715
57556,21514,77695
43992,21514,77693
40676,21527,77680
90465,60994,77652
57113,21541,77647
39249,21544,77634
41592,21550,77631
52578,21552,77628
73837,21558,77580
2587,21575,77573
18613,39139,77569
29592,21629,77554
21788,21638,77546
7641,21659,77531
63601,21706,77523
9390,21732,77522
99187,21745,77514
72567,26013,77509
45714,21755,77502
53939,21756,77478
39029,21765,77456
14272,21773,77456
22335,21774,77451
25867,21779,77445
2200,67363,77431
36202,21816,77428
67312,21817,77426
67664,21820,77424
21758,21836,77422
71105,21840,77420
5411,21840,77417
4434,21842,77385
73745,21843,77376
73621,21846,77360
51938,21855,77345
52832,21856,77325
43719,21864,77324
91337,21873,77303
36544,21878,77279
43232,21887,77270
99675,21897,77232
23573,21900,77231
32285,21906,77209
14306,21917,77194
12299,21934,77191
55168,21934,77175
43788,21941,77174
56205,21946,77153
80961,21946,77147
57686,50851,77146
33732,21969,77135
47909,12448,77134
81857,22008,77130
4483,22020,77130
74798,22027,77127
22150,22040,77118
93021,22044,77099
93819,22046,77086
49216,22048,77081
12707,22052,77067
24033,22054,77057
20146,22063,77053
42998,22064,77051
59597,22071,77031
7590,46475,77025
15780,22093,77018
17719,22106,77001
59786,22109,76999
52800,22119,76995
98720,22131,76986
23663,22131,76983
13850,22139,76978
63169,22150,76968
10335,22154,76966
10826,22156,76960
67233,22156,76946
11283,22165,76940
67526,22167,76934
98688,83446,76931
16598,22188,76915
55287,22189,76914
46577,22203,76908
36143,22207,76903
89244,22209,76885
43698,93198,76880
10275,22225,76875
85181,12647,76858
63196,22262,76850
57764,22281,76843
51664,22294,76841
79882,22301,76819
8622,22314,76764
33686,22321,76755
49961,22335,76739
77892,22339,76738
19026,22356,76732
55211,22381,76727
54359,22383,76724
90326,22398,76704
99863,22428,76689
63489,22428,76669
95909,10403,76643
83878,22449,76638
40051,22454,76629
16957,92087,76610
65693,22478,76597
86010,22480,76596
1945,85003,76584
40972,22489,76572
31693,22491,76566
56167,22496,76554
46,22498,76543
75792,22509,76538
41842,53033,76528
48941,31497,76508
53446,22533,76504
47880,22550,76494
11027,22554,76493
86162,22558,76491
94709,22562,76485
13266,1609,76480
19503,22568,76461
3620,22577,76456
59334,22583,76450
23282,22591,76447
55672,22598,76445
15655,22638,76440
56465,22647,76418
33275,22664,76406
73579,22680,76392
60271,22680,76385
79441,22687,76380
22321,22690,76377
54801,22715,76375
82729,22723,76353
98557,22725,76349
57273,43503,76349
49961,22756,76326
90692,22769,76316
16000,22786,76299
46521,22790,76270
19555,81118,76266
47393,22798,76264
98988,22801,76252
87206,22807,76249
72363,22807,76243
619,22812,76233
6814,22833,76232
38577,26151,76230
31642,22880,76228
46150,22918,76212
10881,22931,76211
27696,22951,76207
45813,22970,76205
15617,22972,76204
15707,42921,76187
37970,22984,76177
81413,8424,76169
81856,66598,76097
52720,23014,76090
89429,23018,76073
26810,23024,76061
7090,57652,76051
73711,23054,76042
87829,23063,76039
91187,23071,76039
44870,23071,76038
81774,81378,76033
30601,23076,76024
99468,23078,76000
86512,23084,75998
81064,23093,75998
58263,23097,75991
3262,23099,75980
42142,23132,75942
90758,23143,75930
12999,23146,75926
48399,23157,75925
20960,23162,75911
5137,23174,75909
87940,23186,75907
57611,23200,75896
77899,23213,75895
49954,23219,75894
75279,23317,75888
8321,23333,75871
98973,23343,75865
14114,23349,75863
94536,23358,75861
59976,23382,75856
32620,73092,75850
98921,23410,75849
81123,23414,75824
72349,23431,75817
41480,23434,75809
81308,37888,75808
20658,23437,75804
62299,86757,75787
36106,23463,75778
75066,23465,75777
93163,23469,75776
18212,23491,75720
57854,23491,75711
89856,22566,75696
10609,58390,75675
49795,23528,75649
58058,23536,75642
68709,23542,75618
34396,23550,75611
54857,5954,75604
12833,23570,75595
88183,10452,75590
64429,23570,75587
58553,23572,75579
47469,23575,75578
40081,15369,75574
1956,23598,75569
73139,23601,75564
95668,23605,75537
41469,23605,75525
97320,23606,75521
99332,47832,75519
83759,23616,75519
17453,23641,75513
20009,23651,75513
74412,23668,75494
41162,23670,75488
521,23673,75487
89515,23674,75468
17512,23676,75449
12636,23683,75443
20782,23708,75432
56163,23711,75429
16263,23712,75414
41614,38392,75402
36293,23754,75387
56508,91587,75362
97360,23772,75354
79461,84164,75331
12687,22875,75324
14197,23797,75304
1162,23810,75303
82211,23812,75290
44090,23834,75287
53928,23835,75287
29539,23847,75286
25138,23849,75286
12137,54584,75282
20132,60066,75249
56888,23867,75248
87724,23880,75244
64147,23889,75233
36,35632,75215
94386,23902,75209
38051,23902,75209
43754,23902,75207
51197,23905,75194
24002,23912,75174
28474,23913,75172
87928,23915,75169
14094,23926,75153
23076,49345,75147
21741,23938,75147
21374,23939,75144
25019,23945,75127
61402,23968,75123
16075,23972,75118
11621,23977,75100
97893,23981,75099
59499,23998,75098
98983,24024,75098
2914,24032,75095
88917,24044,75084
69803,24062,75078
54282,24067,75075
64639,24079,75069
37704,24083,75051
88238,24097,75040
82035,24114,75032
61463,24118,75023
1993,24124,75009
63781,24141,74952
81023,24150,74942
10695,24153,74906
51765,31943,74903
56751,24185,74897
97122,24185,74887
70791,18279,74886
60781,24190,74876
53333,24198,74874
25668,24204,74872
6420,24207,74867
82910,24207,74861
11235,24221,74849
17953,24224,74844
50581,24243,74842
9419,76487,74833
49424,98326,74830
83924,24254,74802
94356,24268,74794
14217,24271,74775
54597,24296,74766
41773,24323,74764
20185,24328,74763
64939,24333,74754
29807,18116,74744
20209,24347,74719
6541,6705,74716
22299,24363,74715
78942,24390,74702
6095,24396,74696
89794,24423,74690
32134,24430,74686
1881,24439,74685
54136,24441,74677
12901,24481,74668
89755,24481,74663
51816,95658,74657
97841,24505,74647
59372,24507,74646
83512,24512,74641
9989,24518,74629
73396,24518,74618
94364,9861,74615
20055,24549,74609
89298,97250,74600
16725,24565,74598
36730,24583,74562
78115,24598,74514
46532,24603,74508
60232,24615,74508
40864,24627,74508
43979,24645,74507
81109,24650,74490
64336,24656,74476
35187,24658,74469
13939,24659,74453
70264,24661,74446
98176,24675,74423
70828,24675,74420
2607,24697,74413
77774,24718,74413
64221,24718,74400
62814,24730,74375
30387,24744,74362
34999,24746,74359
89344,24751,74310
2677,11771,74307
4539,24779,74304
8973,24789,74301
89828,45544,74300
70842,18819,74292
44923,78028,74290
92073,24818,74285
71228,24820,74279
58910,77321,74274
93926,24844,74268
25682,33806,74249
44460,24847,74236
47850,24848,74223
3913,24854,74213
24008,24861,74176
96083,24869,74168
62397,24869,74166
96890,24898,74157
14372,24919,74152
44759,24919,74134
74394,24927,74134
12836,24928,74132
87006,24929,74126
95676,24931,74122
50534,24932,74120
74112,24956,74112
33155,24959,74084
50037,24961,74083
67641,32600,74078
58500,24975,74071
6531,24979,74044
6176,51937,74043
22799,24984,74041
22962,24988,74038
15551,24989,74024
7449,24989,74008
39224,24990,73989
23048,24993,73980
52916,24998,73974
18034,25005,73956
73560,25005,73940
30538,25010,73919
23222,25012,73918
9279,25028,73914
59445,25029,73912
10153,25048,73909
40566,25063,73906
92359,25085,73895
52354,25091,73894
81351,25102,73870
55571,25108,73866
64652,25147,73850
79502,25147,73815
81733,25148,73805
34091,79180,73803
27765,25166,73801
1421,25169,73792
29416,25186,73786
26670,25188,73781
35628,25198,73777
91196,25201,73768
16895,25205,73754
51122,11814,73736
15269,25210,73731
76140,93749,73729
67162,25226,73729
57336,25248,73724
32152,25258,73703
42040,25259,73702
10890,25263,73699
35232,25277,73695
43330,25282,73686
62268,25303,73680
10194,25314,73678
66937,84505,73671
32601,25332,73669
66108,25347,73667
28549,25352,73644
30399,25361,73641
97471,25373,73640
25459,25382,73634
16309,25394,73629
70086,25397,73627
74007,25409,73621
56208,25424,73620
4981,20190,73594
47714,25428,73567
50010,25431,73563
23739,25448,73555
75899,25460,73553
42073,25467,73539
37092,25470,73505
23674,25484,73491
88517,25484,73483
97043,46599,73475
32230,25499,73422
57367,25499,73403
72976,12735,73398
30505,33349,73395
32313,25505,73376
89053,25512,73363
65987,25519,73360
26644,25521,73353
45249,22977,73351
40702,25533,73325
75517,25537,73311
82053,25542,73306
48596,25545,73293
29415,39382,73269
95463,25557,73262
33986,25569,73222
99104,56183,73192
70490,25575,73190
34876,25580,73176
20495,25595,73156
70196,25600,73143
84169,25610,73134
54420,25610,73132
75100,25624,73122
6228,25633,73115
97438,25638,73111
17569,25640,73103
5235,25646,73094
51994,25657,73084
92228,59987,73083
62086,25659,73074
32932,25679,73070
83272,25684,73055
76309,25701,73045
93998,25702,73044
16009,25704,73043
96984,47102,73041
51232,49254,73039
99620,25725,73036
27637,25727,73029
94608,68673,73016
30510,25746,73015
95046,25747,73007
24613,93380,72993
75565,25764,72977
78229,25764,72954
71816,25767,72938
59437,15708,72933
67840,25802,72921
97802,25803,72910
49517,25818,72895
27560,25819,72890
74881,25819,72889
40191,25828,72888
17852,25830,72877
36026,25831,72871
30820,25917,72853
3504,25921,72828
6200,25939,72827
39769,25943,72824
7908,25953,72822
38158,25970,72820
10993,25976,72810
23778,95463,72809
35870,26004,72800
46802,26006,72794
79039,51846,72793
53709,13908,72789
85479,26061,72786
42725,26072,72780
33345,26073,72773
76333,26073,72771
92899,26075,72751
76290,19233,72750
37648,26080,72749
31076,54683,72747
18883,26112,72747
18442,26127,72717
824,26139,72717
42538,26144,72709
23805,26146,72704
75086,25751,72697
90384,26168,72686
62555,26173,72679
49944,26178,72677
41862,68463,72675
25303,26197,72674
63792,26203,72669
3195,26232,72656
38907,26248,72655
87643,26267,72654
53545,26283,72647
76046,26290,72628
73089,26296,72617
64135,26299,72612
64703,26307,72607
44204,36296,72603
61557,43556,72599
26688,26344,72585
55823,26354,72581
84378,26360,72574
37122,26367,72558
29261,26369,72554
37124,60091,72547
48292,26375,72546
42351,15617,72543
24038,26404,72535
1091,26405,72530
81605,26418,72514
13610,27966,72510
79563,26455,72505
75351,26457,72480
7473,26469,72475
44832,26472,72465
40791,26472,72458
70924,26473,72454
15670,32339,72415
78093,26514,72414
82416,26515,72390
97041,26516,72387
79431,26539,72381
88429,26543,72365
58277,26583,72350
52018,26596,72346
2203,26601,72336
47305,26611,72310
24554,26615,72306
87140,26635,72302
52551,26635,72271
43485,26646,72268
92996,26646,72256
26132,26650,72250
8057,26656,72244
93584,26660,72239
18142,15785,72235
92946,1560,72225
59875,26708,72218
80495,26710,72212
31170,26713,72180
43405,26722,72179
32028,91974,72177
26191,26729,72168
97098,26738,72156
99813,63819,72149
18017,26746,72138
7681,26747,72130
26025,86005,72126
41497,26754,72124
56911,26777,72123
5441,26781,72108
8673,26786,72106
26900,26789,72105
49983,26808,72087
43547,26811,72069
65090,26813,72066
65495,26821,72034
35878,26833,72014
48605,26837,72010
99134,26844,71978
88157,26844,71975
55099,26856,71951
11281,26858,71947
16992,26886,71946
4208,88221,71933
8252,26927,71933
84235,58415,71933
68954,59687,71924
22578,26988,71917
45426,27002,71900
22250,27008,71899
81769,27012,71898
75070,27020,71894
94486,27039,71880
77406,83111,71873
37941,27051,71869
47015,27053,71865
20093,27056,71862
94170,27058,71858
265,27069,71857
42525,27070,71851
12435,73027,71850
67190,55343,71840
85680,27101,71838
45766,27110,71831
75676,86967,71829
95331,26051,71829
29844,91323,71825
52114,27177,71808
27170,91411,71805
98239,27189,71787
84321,55412,71755
40661,27231,71746
53885,27239,71713
99701,27242,71709
11953,12124,71706
27873,27266,71705
1377,91951,71702
23349,43923,71696
69521,27303,71695
56110,27304,71684
24813,73013,71680
73809,91133,71679
9192,27308,71640
8834,27310,71631
17273,27315,71629
51782,27333,71619
23872,27334,71616
21771,27335,71607
24986,42892,71596
39254,27358,71579
76739,34352,71569
17208,27416,71566
59286,27423,71526
9872,27429,71515
51108,70624,71512
19906,27443,71486
77306,27448,71454
80447,27449,71441
64704,27455,71439
12817,72536,71413
90197,27467,71411
15778,27490,71409
93851,27493,71406
25533,81461,71405
19480,27566,71405
35968,92332,71404
83946,27579,71397
35937,27581,71350
34900,27584,71349
42743,53665,71349
65309,51662,71346
60756,47966,71335
91761,48640,71324
6240,76675,71319
71795,27642,71314
55467,27656,71308
2181,11112,71298
48602,27662,71297
56508,27674,71286
44655,27686,71282
30092,27742,71255
4579,27747,71255
27485,27753,71215
59797,51181,71192
23462,27782,71190
9495,27797,71176
73469,27798,71168
68723,27809,71155
33529,27818,71127
20784,27825,71114
43415,15035,71111
15983,19809,71101
68184,27853,71097
25643,27863,71083
74861,27873,71080
63972,27876,71054
85181,27892,71053
29983,27901,71045
80904,27908,71041
66540,27922,71036
8801,27922,71035
99400,27935,71028
76571,27937,71022
3145,27937,71009
75356,27945,71007
69094,27956,71006
96670,27957,70997
17434,27960,70957
91343,38091,70945
83061,27967,70943
13119,27986,70939
91505,27993,70935
42452,27999,70928
66609,63871,70921
80866,28023,70912
27496,28025,70904
11228,28049,70898
21422,28061,70896
82573,28087,70894
34056,28092,70879
23561,10276,70865
71717,28108,70862
9274,28126,70853
37914,28146,70851
75387,28166,70850
26812,28172,70836
78964,28172,70832
59772,28195,70821
8129,28204,70818
43939,28224,70797
33259,30834,70792
19233,65252,70788
39146,28268,70774
2167,28287,70771
50858,28292,70767
79815,28302,70740
35623,62452,70724
23783,28342,70724
44295,28357,70722
57170,28360,70716
8377,82289,70712
75955,78174,70705
25597,28383,70691
71092,2029,70672
63349,28385,70665
49783,28389,70630
57597,28391,70623
62258,28397,70598
47714,28404,70579
25438,31823,70571
35871,28409,70569
39805,28412,70559
24971,28421,70555
56998,28446,70547
92421,28514,70542
64228,28518,70538
73909,85950,70535
83076,44332,70533
73196,53406,70523
22797,28566,70520
1188,73945,70517
9698,28577,70501
35066,83515,70485
15546,28603,70482
71439,80584,70482
38898,28630,70467
13395,28657,70431
14829,28658,70386
15805,20581,70383
39692,28699,70382
1645,96997,70378
92597,28706,70371
75197,28714,70344
15208,35987,70312
33381,28757,70307
53743,66634,70274
30963,28776,70250
60858,57818,70245
13971,28796,70233
27770,28801,70228
73632,28839,70218
35767,28863,70199
25934,28863,70198
42732,28878,70185
51815,28895,70173
92160,28929,70150
70132,28934,70145
84528,28959,70139
3841,28988,70133
83768,28997,70120
27435,29005,70120
2181,29006,70115
49301,29021,70111
12431,29023,70110
14893,29027,70098
16090,29050,70083
25095,29069,70050
39459,16391,70038
77122,19637,70033
28426,29085,70029
55057,10270,70023
82704,52722,70018
6676,29088,70013
95008,29098,70008
36244,29104,70007
40753,29106,70006
21516,77239,69984
5223,29114,69983
13694,29116,69979
89755,29123,69969
89060,29126,69956
91487,29180,69946
31268,51470,69937
26630,29201,69917
99374,29216,69900
52439,29225,69894
25682,36269,69890
78887,48541,69887
72087,29303,69870
14812,29304,69864
36380,29313,69858
94767,65851,69836
98653,29338,69834
98428,29339,69798
84966,29363,69789
23853,29374,69781
67949,29385,69772
65599,29387,69771
17815,29397,69770
74188,29407,69769
37167,29415,69769
61076,29425,69766
57680,29447,69763
17445,29448,69749
83352,91642,69743
73618,97082,69695
72335,29468,69694
13155,29479,69676
91299,29497,69653
55670,29513,69645
5798,29515,69641
5364,29525,69640
3908,29529,69638
54441,44041,69628
67262,29558,69595
45574,29562,69568
50226,73943,69565
89887,29580,69547
1516,29580,69539
55085,29597,69524
34185,29598,69519
7113,29612,69509
83043,29615,69506
35984,29615,69475
4459,29621,69447
39606,29631,69446
91271,29634,69440
50625,10764,69417
97365,29654,69414
99139,50412,69387
90778,29686,69374
95068,29689,69350
56852,29700,69342
47058,29701,69321
10731,1771,69293
59458,29723,69285
69346,29745,69273
37904,29745,69267
98514,29747,69258
41748,93423,69229
62687,20366,69165
66160,29791,69162
49361,29798,69154
23676,29799,69152
58344,29834,69131
67584,29835,69120
86317,29843,69115
17477,29847,69115
81971,29861,69109
72353,29870,69104
79003,29873,69088
51584,29901,69082
51145,29944,69078
86706,29944,69068
65217,29979,69038
23804,30024,69020
6256,30026,69001
70631,30055,68992
31187,47083,68988
73506,30061,68977
95587,30100,68963
75571,30102,68954
98775,30129,68926
12357,76642,68925
97405,83405,68923
68187,30183,68920
14513,30217,68917
52310,30224,68907
97827,30224,68904
13855,30229,68902
28377,30229,68899
5245,30230,68894
22082,30238,68888
15502,30259,68882
23108,30262,68849
30610,30274,68841
11792,30286,68831
3723,30300,68824
16204,30307,68821
78577,30312,68815
67413,30334,68804
16190,30374,68786
24123,30390,68784
6640,59081,68783
22896,30421,68758
15808,30422,68756
81006,30428,68749
52565,17447,68748
36545,30431,68698
